I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.07,0.07,,,,,,,,,
0.0,0.07,0.07,,,,,,,,,
0.0,0.07,0.07,,,,,,,,,
0.0,0.07,0.07,,,,,,,,,
0.0,0.07,0.07,,,,,,,,,
0.0,0.07,0.07,,,,,,,,,
-0.004,0.066,0.07,,,,,,,,,
-0.005,0.065,0.07,,,,,,,,,
-0.007,0.063,0.07,,,,,,,,,
-0.01,0.059,0.07,,,,,,,,,
-0.01,0.06,0.07,,,,,,,,,
-0.01,0.061,0.071,,,,,,,,,
-0.01,0.057,0.067,,,,,,,,,
-0.025,0.055,0.08,,,,,,,,,
-0.042,0.054,0.096,,,,,,,,,
-0.035,0.05,0.085,,,,,,,,,
-0.026,0.05,0.077,,,,,,,,,
-0.022,0.047,0.069,,,,,,,,,
-0.016,0.045,0.061,,,,,,,,,
-0.009,0.044,0.053,,,,,,,,,
-0.005,0.04,0.045,,,,,,,,,
0.004,0.04,0.036,,,,,,,,,
0.002,0.04,0.037,,,,,,,,,
0.001,0.042,0.041,,,,,,,,,
0.006,0.045,0.04,,,,,,,,,
0.005,0.045,0.04,,,,,,,,,
0.001,0.045,0.044,,,,,,,,,
-0.001,0.045,0.046,,,,,,,,,
0.001,0.045,0.044,,,,,,,,,
-0.001,0.045,0.046,,,,,,,,,
-0.005,0.045,0.05,,,,,,,,,
-0.006,0.045,0.05,,,,,,,,,
-0.002,0.048,0.05,,,,,,,,,
0.001,0.051,0.05,,,,,,,,,
-0.001,0.05,0.051,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.001,0.054,0.055,,,,,,,,,
0.0,0.055,0.055,,,,,,,,,
0.0,0.055,0.055,,,,,,,,,
0.0,0.055,0.055,,,,,,,,,
0.0,0.055,0.055,,,,,,,,,
0.0,0.055,0.055,,,,,,,,,
0.001,0.055,0.054,,,,,,,,,
-0.002,0.055,0.057,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.005,0.055,0.06,,,,,,,,,
-0.008,0.055,0.063,,,,,,,,,
-0.012,0.055,0.067,,,,,,,,,
-0.016,0.055,0.071,,,,,,,,,
-0.02,0.055,0.075,,,,,,,,,
-0.013,0.061,0.074,,,,,,,,,
-0.002,0.082,0.084,,,,,,,,,
-0.003,0.09,0.093,,,,,,,,,
-0.012,0.084,0.096,,,,,,,,,
-0.015,0.085,0.1,,,,,,,,,
-0.019,0.085,0.105,,,,,,,,,
-0.02,0.085,0.105,,,,,,,,,
-0.022,0.085,0.107,,,,,,,,,
-0.016,0.094,0.11,,,,,,,,,
0.005,0.11,0.105,,,,,,,,,
0.006,0.111,0.105,,,,,,,,,
0.007,0.11,0.102,,,,,,,,,
0.011,0.11,0.099,,,,,,,,,
0.01,0.11,0.1,,,,,,,,,
0.01,0.11,0.1,,,,,,,,,
0.014,0.11,0.096,,,,,,,,,
0.015,0.11,0.095,,,,,,,,,
0.017,0.11,0.093,,,,,,,,,
0.021,0.11,0.089,,,,,,,,,
0.02,0.11,0.09,,,,,,,,,
0.019,0.11,0.091,,,,,,,,,
0.024,0.111,0.087,,,,,,,,,
0.022,0.107,0.085,,,,,,,,,
0.014,0.098,0.084,,,,,,,,,
0.01,0.09,0.08,,,,,,,,,
0.002,0.082,0.08,,,,,,,,,
-0.007,0.074,0.081,,,,,,,,,
-0.012,0.066,0.078,,,,,,,,,
-0.017,0.058,0.075,,,,,,,,,
-0.025,0.05,0.075,,,,,,,,,
-0.025,0.046,0.071,,,,,,,,,
-0.025,0.045,0.069,,,,,,,,,
-0.025,0.046,0.071,,,,,,,,,
-0.025,0.044,0.069,,,,,,,,,
-0.025,0.04,0.065,,,,,,,,,
-0.026,0.04,0.065,,,,,,,,,
-0.021,0.041,0.062,,,,,,,,,
-0.021,0.038,0.059,,,,,,,,,
-0.026,0.035,0.06,,,,,,,,,
-0.025,0.035,0.06,,,,,,,,,
-0.021,0.035,0.056,,,,,,,,,
-0.019,0.036,0.054,,,,,,,,,
-0.022,0.033,0.056,,,,,,,,,
-0.025,0.03,0.054,,,,,,,,,
-0.02,0.03,0.05,,,,,,,,,
-0.02,0.03,0.05,,,,,,,,,
-0.02,0.031,0.05,,,,,,,,,
-0.022,0.028,0.05,,,,,,,,,
-0.025,0.025,0.05,,,,,,,,,
